"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"102","geneComp_00000625","AKR1A1","AKR1A1","normal","tumor",4.68892229078382e-05,TRUE,55
"103","geneComp_00033749","VAPB","VAPB","normal","tumor",4.89966970727623e-05,TRUE,56
"105","geneComp_00002469","CA13","CA13","normal","tumor",5.28853658081439e-05,TRUE,57
"107","geneComp_00034677","ZNF287","ZNF287","normal","tumor",7.73117928888048e-05,TRUE,58
"109","geneComp_00028946","RTTN","RTTN","normal","tumor",8.34296799828075e-05,TRUE,59
"110","geneComp_00019317","ITGB6","ITGB6","normal","tumor",9.63463866456574e-05,TRUE,60
"111","geneComp_00015861","FAM13A","FAM13A","normal","tumor",0.000121286626623075,TRUE,61
"112","geneComp_00001614","ATRIP","ATRIP","normal","tumor",0.000170951797346052,TRUE,62
"113","geneComp_00022646","MGLL","MGLL","normal","tumor",0.000170951797346052,TRUE,63
"114","geneComp_00017104","GLA","GLA","normal","tumor",0.000174658913765617,TRUE,64
"116","geneComp_00001927","BLOC1S5","BLOC1S5","normal","tumor",0.000196184258759948,TRUE,65
"117","geneComp_00019651","KIAA0513","KIAA0513","normal","tumor",0.000202102790971938,TRUE,66
"119","geneComp_00023359","MTURN","MTURN","normal","tumor",0.000202102790971938,TRUE,67
"120","geneComp_00000919","ANKRD9","ANKRD9","normal","tumor",0.000226850615193077,TRUE,68
"122","geneComp_00005188","DNAAF1","DNAAF1","normal","tumor",0.000230484405113383,TRUE,69
"124","geneComp_00004561","CXCL12","CXCL12","normal","tumor",0.00024350120489002,TRUE,70
"127","geneComp_00032437","TMPRSS3","TMPRSS3","normal","tumor",0.000258413397445504,TRUE,71
"129","geneComp_00019460","KBTBD3","KBTBD3","normal","tumor",0.000259500482898941,TRUE,72
"130","geneComp_00034654","ZNF271P","ZNF271P","normal","tumor",0.00026575729936448,TRUE,73
"131","geneComp_00000907","ANKRD54","ANKRD54","normal","tumor",0.00029589863420484,TRUE,74
"133","geneComp_00022344","MAST4","MAST4","normal","tumor",0.000304698712632189,TRUE,75
"136","geneComp_00027001","PXYLP1","PXYLP1","normal","tumor",0.000306831780358254,TRUE,76
"137","geneComp_00033991","WDPCP","WDPCP","normal","tumor",0.000325769267043936,TRUE,77
"138","geneComp_00034658","ZNF276","ZNF276","normal","tumor",0.000337796574986997,TRUE,78
"139","geneComp_00033389","UBE2G1","UBE2G1","normal","tumor",0.000369813303942526,TRUE,79
"141","geneComp_00026426","PPP6R2","PPP6R2","normal","tumor",0.000444157591242151,TRUE,80
"143","geneComp_00030703","SP2","SP2","normal","tumor",0.000465212073093716,TRUE,81
"144","geneComp_00000534","AGO3","AGO3","normal","tumor",0.000479457025999053,TRUE,82
"146","geneComp_00002380","C4A","C4A","normal","tumor",0.000492116892455082,TRUE,83
"147","geneComp_00022370","MBD6","MBD6","normal","tumor",0.000519038376054951,TRUE,84
"149","geneComp_00030086","SLC48A1","SLC48A1","normal","tumor",0.000532234543535447,TRUE,85
"151","geneComp_00017488","GRAMD2B","GRAMD2B","normal","tumor",0.000536875938836337,TRUE,86
"153","geneComp_00000841","ANKRD18A","ANKRD18A","normal","tumor",0.00055735892778939,TRUE,87
"154","geneComp_00025431","PDXK","PDXK","normal","tumor",0.000585852744578286,TRUE,88
"155","geneComp_00029217","SCRN3","SCRN3","normal","tumor",0.000631551967900191,TRUE,89
"156","geneComp_00001402","ASNS","ASNS","normal","tumor",0.00064013615684725,TRUE,90
"158","geneComp_00024072","NLRX1","NLRX1","normal","tumor",0.000662295028256426,TRUE,91
"159","geneComp_00002624","CAPN3","CAPN3","normal","tumor",0.00069070674513472,TRUE,92
"162","geneComp_00001771","BBS4","BBS4","normal","tumor",0.000690962108778086,TRUE,93
"163","geneComp_00031906","THADA","THADA","normal","tumor",0.000727650379180337,TRUE,94
"164","geneComp_00028936","RTN4R","RTN4R","normal","tumor",0.000749483583961633,TRUE,95
"166","geneComp_00017856","HARS2","HARS2","normal","tumor",0.000769032579200678,TRUE,96
"167","geneComp_00027620","RHOF","RHOF","normal","tumor",0.000771774637408557,TRUE,97
"168","geneComp_00018556","HYDIN","HYDIN","normal","tumor",0.000776838755598388,TRUE,98
"169","geneComp_00007170","ENSG00000233223","ENSG00000233223","normal","tumor",0.000779577873852192,TRUE,99
"170","geneComp_00022453","MDM4","MDM4","normal","tumor",0.000783023112382195,TRUE,100
"171","geneComp_00000565","AHSA2P","AHSA2P","normal","tumor",0.000794096901119626,TRUE,101
"172","geneComp_00017899","HCFC1R1","HCFC1R1","normal","tumor",0.000794096901119626,TRUE,102
"173","geneComp_00022123","MAD2L2","MAD2L2","normal","tumor",0.000928981417489963,TRUE,103
"175","geneComp_00002694","CASP8","CASP8","normal","tumor",0.000976114045127839,TRUE,104
"177","geneComp_00001535","ATP5F1D","ATP5F1D","normal","tumor",0.00098401355185526,TRUE,105
"179","geneComp_00001353","ASAP2","ASAP2","normal","tumor",0.00109987447055864,TRUE,106
"181","geneComp_00032947","TRIM65","TRIM65","normal","tumor",0.00111745638562461,TRUE,107
"183","geneComp_00019191","IPP","IPP","normal","tumor",0.00123331830196776,TRUE,108
"184","geneComp_00018304","HOMEZ","HOMEZ","normal","tumor",0.0012620955106155,TRUE,109
"187","geneComp_00025411","PDLIM2","PDLIM2","normal","tumor",0.00126929877461841,TRUE,110
"188","geneComp_00004384","CSNK1E","CSNK1E","normal","tumor",0.00128077237568048,TRUE,111
"189","geneComp_00003914","CMTM3","CMTM3","normal","tumor",0.00130675800788744,TRUE,112
"190","geneComp_00000615","AKAP6","AKAP6","normal","tumor",0.00131907904864218,TRUE,113
"192","geneComp_00026917","PTPN23","PTPN23","normal","tumor",0.00131907904864218,TRUE,114
"193","geneComp_00029264","SDR39U1","SDR39U1","normal","tumor",0.00132986207821041,TRUE,115
"194","geneComp_00035159","ZNF93","ZNF93","normal","tumor",0.00133468542782852,TRUE,116
"196","geneComp_00022563","METTL15","METTL15","normal","tumor",0.00139230994771496,TRUE,117
"197","geneComp_00020470","LINC00649","LINC00649","normal","tumor",0.00144767405107359,TRUE,118
"198","geneComp_00031168","STK32C","STK32C","normal","tumor",0.00144767405107359,TRUE,119
"199","geneComp_00019730","KIFC3","KIFC3","normal","tumor",0.00144864892202071,TRUE,120
"200","geneComp_00030992","SSC4D","SSC4D","normal","tumor",0.00145656442684774,TRUE,121
"202","geneComp_00029763","SLC12A2-DT","SLC12A2-DT","normal","tumor",0.00159051857658832,TRUE,122
"204","geneComp_00022579","METTL2A","METTL2A","normal","tumor",0.00166789430427832,TRUE,123
"205","geneComp_00031390","SYNJ2","SYNJ2","normal","tumor",0.00169090588688945,TRUE,124
"206","geneComp_00032513","TNK1","TNK1","normal","tumor",0.00174094629633409,TRUE,125
"207","geneComp_00027147","RABL2B","RABL2B","normal","tumor",0.00178947183221277,TRUE,126
"208","geneComp_00029070","SAP30L","SAP30L","normal","tumor",0.00178947183221277,TRUE,127
"209","geneComp_00021745","LMBRD1","LMBRD1","normal","tumor",0.00183134128806139,TRUE,128
"210","geneComp_00022664","MICA","MICA","normal","tumor",0.00189860738296945,TRUE,129
"211","geneComp_00033486","UCP2","UCP2","normal","tumor",0.00190025154350926,TRUE,130
"213","geneComp_00003530","CFH","CFH","normal","tumor",0.00201645552822585,TRUE,131
"214","geneComp_00022416","MCM7","MCM7","normal","tumor",0.00206786343314683,TRUE,132
"216","geneComp_00026464","PRDM11","PRDM11","normal","tumor",0.00208072260947379,TRUE,133
"217","geneComp_00029535","SGCD","SGCD","normal","tumor",0.00213669176661024,TRUE,134
"219","geneComp_00002215","C16orf86","C16orf86","normal","tumor",0.00220040034869951,TRUE,135
"220","geneComp_00034359","ZC3H12A","ZC3H12A","normal","tumor",0.00220040034869951,TRUE,136
"222","geneComp_00006009","ENO3","ENO3","normal","tumor",0.00232314897180285,TRUE,137
"223","geneComp_00000677","ALDOA","ALDOA","normal","tumor",0.00233215903211467,TRUE,138
"225","geneComp_00024388","NTAN1","NTAN1","normal","tumor",0.00254898396671189,TRUE,139
"226","geneComp_00017185","GMPS","GMPS","normal","tumor",0.00261583053888789,TRUE,140
"227","geneComp_00015813","FAIM","FAIM","normal","tumor",0.00263929627148549,TRUE,141
"229","geneComp_00027582","RGS3","RGS3","normal","tumor",0.00263929627148549,TRUE,142
"230","geneComp_00022946","MORN1","MORN1","normal","tumor",0.00265449677297638,TRUE,143
"231","geneComp_00002665","CARS1","CARS1","normal","tumor",0.00268814128494687,TRUE,144
"234","geneComp_00005249","DNAJC15","DNAJC15","normal","tumor",0.00285238995379569,TRUE,145
"236","geneComp_00030953","SRPRB","SRPRB","normal","tumor",0.00291423728748779,TRUE,146
"238","geneComp_00030153","SLC7A8","SLC7A8","normal","tumor",0.00292276524663759,TRUE,147
"239","geneComp_00034091","WIZ","WIZ","normal","tumor",0.0029823282367812,TRUE,148
"240","geneComp_00004012","COASY","COASY","normal","tumor",0.0030067765194925,TRUE,149
"242","geneComp_00031766","TEF","TEF","normal","tumor",0.00306814761140094,TRUE,150
"244","geneComp_00023914","NF1","NF1","normal","tumor",0.00324631934248442,TRUE,151
"245","geneComp_00005893","ELAPOR1","ELAPOR1","normal","tumor",0.00325158017925195,TRUE,152
"246","geneComp_00034396","ZDHHC1","ZDHHC1","normal","tumor",0.00325666705751681,TRUE,153
"248","geneComp_00002076","BRWD1","BRWD1","normal","tumor",0.00329865198287606,TRUE,154
"250","geneComp_00024290","NR3C1","NR3C1","normal","tumor",0.00330281288225671,TRUE,155
"251","geneComp_00029474","SETD9","SETD9","normal","tumor",0.00332088555479642,TRUE,156
"252","geneComp_00033627","USF2","USF2","normal","tumor",0.00332088555479642,TRUE,157
"254","geneComp_00002354","C2orf68","C2orf68","normal","tumor",0.00341511869846176,TRUE,158
"255","geneComp_00026706","PRTG","PRTG","normal","tumor",0.0034168302716466,TRUE,159
"257","geneComp_00004950","DEK","DEK","normal","tumor",0.0034945389019505,TRUE,160
"258","geneComp_00030607","SNX21","SNX21","normal","tumor",0.00356976873923035,TRUE,161
"259","geneComp_00023896","NET1","NET1","normal","tumor",0.00358703496710531,TRUE,162
"260","geneComp_00019341","ITPR1","ITPR1","normal","tumor",0.00362540021211106,TRUE,163
"262","geneComp_00019423","KANK3","KANK3","normal","tumor",0.00373904245682905,TRUE,164
"264","geneComp_00023853","NEDD4","NEDD4","normal","tumor",0.00382996184719696,TRUE,165
"265","geneComp_00001074","APP","APP","normal","tumor",0.00395645723689683,TRUE,166
"266","geneComp_00030358","SMPDL3B","SMPDL3B","normal","tumor",0.00395645723689683,TRUE,167
"268","geneComp_00018453","HSPA12A","HSPA12A","normal","tumor",0.00400258396965308,TRUE,168
